Name,Aliases,Root,Chord,Frets,Fingering,Also Derive From,When Derivative Source:,Order,Frets,Fingering,Comments
,,G,,,,D B G,,,,,
,,Ab,,,,B E,,,,,
,,A,,x 0 1 3 2 3,x 0 1 3 2 4,E,,,,,
,,Bb,,,,D B A G E,,,,,
,,B,,,,Ab E,,,,,
,,C,,,,A G,,,,,
,,Db,,,,B G E,,,,,
,,D,,,,G,,,,,
Eb Minor 7th,Ebm7,Eb,m7,,,A E D B,,,,,
,,E,,0 6 8 6 7 6,0 1 3 1 2 1,A Ab E,,,,,
,,F,,,,E D,,,,,
,,Gb,,,,D F#,,,,,
,,G,,,,F,,,,,
,,Ab,,,,A B E,,,,,
,,A,,x 0 11 11 11 11,x 0 1 1 1 1,E Ab,,,,,
,,Bb,,,,D B A E,,,,,
,,B,,,,A E,,,,,
,,C,,,,A,,,,,
,,Db,,,,B A F# E,,,,,
,,D,,,,B F,,,,,
Eb Half-Diminshed,Ebm7b5,Eb,m7b5,,,D A B F,,,,,
Eb Add 9,Ebadd9,Eb,add9,,,E C A,,,,,
Eb Sus 2,Ebsus2,Eb,sus2,,,A D,,,,,
Eb Add 4,Ebadd4,Eb,add4,,,A E G,,,,,
Eb Sus4,Ebsus4,Eb,sus4,,,A E D,,,,,
Eb 5 (Power Chord),Eb5,Eb,5,,,A E D,,,,,
Eb 6,Eb6,Eb,6,,,A E B F D G,,,,,
Eb Minor add 9,Ebmadd9,Eb,madd9,,,E,,,,,
Eb Minor add 4,Ebmadd4,Eb,madd4,,,A E,,,,,
Eb Minor 6,Ebm6,Eb,m6,,,D B F E,,,,,
Eb Major 9,Ebmaj9,Eb,maj9,,,Bb E,,,,,
Eb Major 11,Ebmaj11,Eb,maj11,,,A E,,,,,
Eb Major 13,Ebmaj13,Eb,maj13,,,E,,,,,
Eb Major #11,Ebmaj#11,Eb,maj#11,,,A E,,,,,
Eb Minor 9,"Ebm9, Ebm7/9",Eb,"m9, m7/9",x 6 4 6 6 x,,B E,,,,,
Eb Minor 11,Ebm11,Eb,m11,,,B A E F# ,,,,,
Eb Minor 13,Ebm13,Eb,m13,,,A E,,,,,
Eb Minor flat 9,Ebm7(b9),Eb,m7(b9),,,E F#,,,,,
Eb Minor flat 13,Ebm(b13),Eb,m(b13),,,A E,,,,,
Eb Minor sharp 11,Ebm(#11),Eb,m(#11),,,A E,,,,,
Eb Minor Major 7th,Ebm(maj7),Eb,m(maj7),,,A D C F E ,,,,,
Eb Dominant 7/9,"Eb9, Eb7/9",Eb,"9, 7/9",x x 1 0 2 1,x x 1 0 3 2,Bb E F,,,,,
Eb Dominant 7sus2,Eb7sus2,Eb,7sus2,,,A D,,,,,
Eb Dominant 7/11,Eb7sus4,Eb,7sus4,,,A D B E,,,,,
Eb Dominant 11th,Eb11,Eb,11,,,B A,,,,,
Eb Dominant 7/13,Eb13,Eb,13,,,A E Bb,,,,,
Eb Dominant 7/9b,Eb7b9,Eb,7b9,x x 1 0 2 0,x x 1 0 2 0,Bb E,,,,,
Eb Dominant 7/11#,Eb(#11),Eb,#11,,,A E,,,,,
Eb Dominant 7/b5,Eb7b5,Eb,7b5,,,A D F E,,,,,
Eb Augmented 7,Ebaug7,Eb,aug7,,,A D E,,,,,
Eb add6 add9,Eb6/9,Eb,6/9,x x 1 0 1 1 ,x x 1 0 2 3 ,Bb F G,,,,,
Eb Minor add6 add9,Ebm6/9,Eb,m6/9,,,B E,,,,,
Eb Major 7 13/9,Ebmaj13/9,Eb,maj13/9,,,A E F,,,,,
Eb Dominant 7 13/9,Eb13/9,Eb,13/9,,,A E G Bb,,,,,
Eb Dominant 7 13/b9,Eb13/b9,Eb,13/b9,,,E G,,,,,
